'Husband Height, in','Wife Height, in','Difference'
60,56,4
60,58,2
61,56,5
62,60,2
62,62,0
61,64,-3
63,55,8
63,59,4
63,61,2
64,61,3
64,61,3
64,62,2
63,62,1
64,63,1
64,64,0
65,57,8
65,58,7
65,60,5
65,61,4
66,61,5
65,62,3
67,63,4
66,64,2
65,64,1
67,64,3
65,65,0
67,65,2
66,66,0
67,67,0
67,59,8
68,60,8
68,61,7
67,62,5
67,63,4
68,63,5
67,63,4
67,64,3
67,65,2
68,66,2
67,67,0
69,68,1
67,68,-1
70,58,12
69,62,7
70,63,7
70,63,7
69,63,6
69,64,5
69,66,3
69,66,3
70,66,4
70,67,3
69,67,2
69,67,2
71,61,10
71,64,7
71,64,7
71,65,6
71,65,6
72,66,6
71,66,5
71,67,4
71,67,4
72,67,5
73,67,6
72,68,4
72,68,4
71,69,2
71,69,2
72,69,3
72,69,3
72,70,2
73,63,10
74,65,9
73,65,8
73,66,7
74,68,6
74,69,5
73,68,5
73,69,4
74,70,4
73,71,2
74,71,3
75,67,8
76,69,7
76,70,6
76,71,5
